time,open,high,low,close,volume
2023-03-14,43.79,43.79,43.15,43.47,161580
2023-03-15,43.85,43.92,43.34,43.92,124810
2023-03-16,43.66,43.79,42.77,43.41,284962
2023-03-17,43.73,43.73,43.15,43.41,94617
2023-03-20,43.22,43.34,42.58,42.58,150407
2023-03-21,43.34,43.34,41.62,42.77,211009
2023-03-22,42.83,43.09,42.7,42.77,70666
2023-03-23,42.26,42.83,42.26,42.83,163943
2023-03-24,42.83,43.09,42.7,43.09,150621
2023-03-27,43.09,43.41,42.77,43.41,113662
2023-03-28,43.6,43.79,42.77,43.41,202015
2023-03-29,43.28,43.28,42.64,42.9,162258
2023-03-30,42.9,43.34,42.77,42.96,87826
2023-03-31,43.09,43.15,42.77,43.15,75952
2023-04-03,43.28,43.6,43.28,43.47,205887
2023-04-04,43.53,44.68,43.53,44.56,422646
2023-04-05,44.68,45.45,43.41,44.75,309334
2023-04-06,45.19,45.19,44.24,44.24,284189
2023-04-07,44.24,44.56,44.05,44.3,184695
2023-04-10,44.36,44.68,43.73,44.68,279631
2023-04-11,44.36,44.68,43.92,43.92,195397
2023-04-12,44.36,45.39,44.24,44.56,515866
2023-04-13,44.56,44.68,43.85,44.05,202750
2023-04-14,44.36,44.36,43.41,43.41,240120
2023-04-17,43.41,43.41,43.09,43.28,128110
2023-04-18,43.28,43.79,43.15,43.41,193462
2023-04-19,43.79,43.79,43.02,43.15,169228
2023-04-20,43.09,43.34,42.9,43.15,76860
2023-04-21,43.02,43.34,42.45,42.58,217350
2023-04-24,42.77,42.77,41.81,41.81,244146
2023-04-25,41.87,43.09,41.49,41.49,296019
2023-04-26,41.81,42.07,40.92,40.92,422637
2023-04-27,40.92,41.81,40.92,41.11,157417
2023-04-28,42.13,43.09,41.94,42.45,1084580
2023-05-04,42.96,43.34,42.64,42.64,289692
2023-05-05,42.64,42.77,42.19,42.26,230890
2023-05-08,42.39,42.9,42.39,42.64,310204
2023-05-09,42.96,42.96,42.39,42.45,238644
2023-05-10,42.26,42.64,42.26,42.39,217788
2023-05-11,42.77,42.77,42.39,42.45,275783
2023-05-12,42.45,42.58,42.13,42.19,429753
2023-05-15,42.26,43.66,42.26,42.83,745359
2023-05-16,43.28,43.6,42.96,43.09,346038
2023-05-17,43.09,43.41,42.51,42.58,324425
2023-05-18,42.77,42.77,42.45,42.58,365083
2023-05-19,43.38,43.38,42.65,43.09,329984
2023-05-22,43.68,44.48,43.31,44.48,746528
2023-05-23,45.14,46.1,44.85,45.95,1055051
2023-05-24,46.1,46.1,45.22,45.22,561054
2023-05-25,45.36,45.36,44.7,44.78,513709
2023-05-26,45.0,45.81,44.85,45.14,583402
2023-05-29,45.14,45.66,44.78,45.14,495794
2023-05-30,45.14,45.36,44.78,44.92,476768
2023-05-31,44.92,46.03,44.63,45.14,588544
2023-06-01,45.36,45.36,44.78,45.0,466371
2023-06-02,45.0,45.36,44.78,45.07,716222
2023-06-05,45.44,46.32,44.92,45.88,1333398
2023-06-06,45.66,46.61,45.66,46.32,851927
2023-06-07,46.32,46.76,45.73,46.32,1225334
2023-06-08,46.03,46.1,45.51,45.51,1073851
2023-06-09,45.51,45.66,44.92,45.44,970672
2023-06-12,45.59,46.17,45.22,45.59,841689
2023-06-13,45.73,46.98,45.66,46.1,1507286
2023-06-14,46.39,46.39,45.66,45.73,671863
2023-06-15,45.81,45.81,45.07,45.36,917335
2023-06-16,45.44,46.17,45.36,45.81,1354180
2023-06-19,45.88,47.35,45.88,46.47,1839486
