CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
VHM,2019,2,3.1829932948211415,20883170237141,7312785569150,0.8503265995406192,2377988162931,-509668690705,20883170237141,20883170237141,-11635895731410,9247274505731,-659293052805,0,-323015726224,-620572928669,10022380960964,52551953222,-45856156354,6695796868,10029076757832,-2213208351920,703144490263,8519012896175,1206227327025,7312785569150
VHM,2019,1,-0.4444461484403993,5852604619187,2540181452387,-0.34972626851796457,2939913591760,-495428597661,5852604619187,5852604619187,-4523910388003,1328694231184,-506807457518,0,-232894070940,-193874842808,3335031451678,31767500764,-8593429669,23174071095,3358205522773,-573864860138,-97291130683,2687049531952,146868079565,2540181452387
VHM,2018,4,4.0757922946672105,16400476808132,2347122150101,3.3629266161218787,3643962356836,-837594095742,16400476808132,16400476808132,-13665617581802,2734859226330,-842083184347,0,-540614716921,-420664022036,4575459659862,-8468040716,-58950266791,-67418307507,4508041352355,-1724146422873,-225962344926,2557932584556,210810434455,2347122150101
VHM,2018,3,6.854849316478338,6878187706502,3847998897453,6.449923431521027,3684787979790,-717800149646,6878187706502,6878187706502,-4222016510818,2656171195684,-717800149646,-32125495,-218318842332,-287475556609,5117332501392,25695806937,-16610304913,9085502024,5126418003416,-874795044838,-212270828794,4039352129784,191353232331,3847998897453
VHM,2018,2,10.43697457843529,4992398688039,3952159349039,8.651382824797645,4340026983354,-585521643795,4992398688039,4992398688039,-3724510100997,1267888587042,-624303715566,32125527,-7389411772,-125707008034,4850547560551,46713523698,-36048049080,10665474618,4861213035169,-1131188008354,260412307796,3990437334611,38277985572,3952159349039
VHM,2018,1,2.119008622270253,10534720626555,3906326412106,4.278427195542582,3011069662872,-300307393734,10534720626555,10534720626555,-7675976136549,2858744490006,-300576531586,159112549,-530642690729,-198375240249,4840378802863,47211943998,-18748292441,28463651557,4868842454420,-909942224273,27413081594,3986313311741,79986899635,3906326412106
VHM,2017,4,-0.6612704547841879,3231116613137,-993311486733,-1.633795835129437,340695799647,-228700156567,3231116613137,3231116613137,-2851694661513,379421951624,-813608160265,-385764024314,-298560492293,-10141910691,-787956836292,57220940989,-225324242548,-168103301559,-956060137851,-29829702744,24996817735,-960893022860,32418463873,-993311486733
VHM,2017,1,8.213096420421964,3377586246904,740054995057,0.7717199852448715,99209816610,-152342221828,3377586246904,3377586246904,-1946904108026,1430682138878,-155276041297,82319949685,-400040363457,-138705201262,918190299157,10004989651,-5562891798,4442097853,922632397010,-154489626608,0,768142770402,28087775345,740054995057
VHM,2016,4,0.0,9538927615772,1567242054423,0.0,591693540499,-220953110016,9538927615772,9538927615772,-5644937943946,3893989671826,-433960182577,-104677496295,-989051635949,-383798551669,2574195345835,52207212437,-21418061371,30789151066,2604984496901,-547159081658,3853709931,2061679125174,494437070751,1567242054423
VHM,2016,3,0.0,875661318171,516515227683,0.0,174567457258,-78694880950,875661318171,875661318171,-486629608361,389031709810,-79365150200,299885817614,-144814429352,-176047315673,463258089457,77874922953,73403457,77948326410,541206415867,-34595214942,-5025882226,501585318699,-14929908984,516515227683
VHM,2016,2,0.0,436513927158,-516528768660,0.0,45245010024,-72271408403,436513927158,436513927158,-353249046895,83264880263,-337779378494,62523201640,-100638951981,-179847146350,-427232384898,75076260694,-18604897558,56471363136,-370761021762,-2407098716,-502588223,-373670708701,142858059959,-516528768660
VHM,2016,1,0.0,366607065939,417704265471,0.0,170748085268,-97681539767,366607065939,366607065939,-277932261757,88674804182,-98283463178,480113479956,-99506630737,-163692765862,378053509629,2667970542,-36806932,2631163610,380684673239,0,0,380684673239,-37019592232,417704265471
